Landmark,Also Known as,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1,Alternate Image 1 Year,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2,Alternate Image 2 Year,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,X,y
Adolphus Heiman House,,1858,1976,"1871, 1903, 1929, 1952",,demolished,testimage1.png,adolphus-heiman-house.png,1971,yes,,LoC,,https://www.loc.gov/resource/hhh.tn0020.photos/?sp=2,"Prussian immigrant Adolphus Heiman had by the 1850s become known as ""Nashville's architect"" due to the large number of prominent commissions he had received. He designed this house for himself three years before the outbreak of the Civil War, in which he served as a colonel in the Confederate Army.",4857,5308,"Designed and built by Nashville architect Adolphus Heiman for use as his own residence, this mid-19th century, one-story brick house was an important expression of the Italian-villa style with modifications.",,,,,,,,,,,50.377,46.594
"Airport Terminal, 1st",,1937,late 1960s,1952,,demolished,testimage3.png,airport-terminal-1st-1,,,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=15504,"The first of three terminals for Berry Field, which over the years would evolve into Nashville International Airport. The eponymous Berry was Harry Berry, the WPA administrator for Tennessee, who helped procure funding for the airport.",6899,6661,,airport-terminal-1st-ca1942.jpg,ca 1942,Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/2285/rec/32,airport-terminal-1st-2,,Twitter,,https://twitter.com/Fly_Nashville/status/1403773046901547010/photo/1,71.236,32.842
American Trust Building,,,extant,"1929, 1952",,,testimage1.png,american-trust-building-ca1926.jpg,ca 1926,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/471/rec/96,"Initially known as the Union Bank and Trust Buiding, it became the American Trust Building after a 1911 merger. The original five-story building had a flat roof but was designed to resemble a Greek temple. In the mid 1920s ten (or in some accounts, eleven) stories were added on top of the building. The building is part of the historic Financial District.",5118,5495,,,,,,,,,,,,53.049,44.707
Amqui Depot,,1910,extant,"1929, 1952",,,testimage3.png,amqui-depot-2.jpg,, ,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/51/rec/2,"The Louisville & Nashville Railroad built Amqui Station in 1910 at the point in Madison where the Nashville, Chattanooga, & St. Louis line met the L&N line. After serving as a passenger and freight depot for several decades, the station was abandoned by the L&N in 1978. The next year Johnny Cash saved the structure from demolition, moving it 10 miles northeast to the House of Cash in Hendersonville, where June Carter Cash used it as an antique shop. After Johnny Cash's death in 2003, it was again moved, this time to the site of the 19th-century Madison Station, about a mile and a half south of its original location.",6349,3001,,amqui-depot-1.jpg,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19615,,,,,,65.555,70.171
Andrew Jackson Hotel,,1925,1971,"1929, 1952",,demolished,testimage4.png,andrew-jackson-hotel-1952.jpg,,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/1956/rec/712,The 400-room hotel was demolished to make space for the James K. Polk office building and the Tennessee Performing Arts Center.,5046,5496,,,,,,,,,,,,52.314,44.696
Arcade,,1903,extant,"1903, 1929, 1952",,,testimage3.png,arcade-1967.png,,,,TSLA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/5360/rec/8,"Realtor and businessman Daniel Buntin came back from a trip to Italy with a plan: to recreate Milan's Galleria Vittorio Emanuele II in Nashville. Contruction took less than a year, and the mall opened in 1903. The interior is open to the second-story glass roof. Shops line both sides of both levels, with second-floor access provided by a wrap-around balcony. Both ends are open and decorated with Palladian facades.",5091,5513,,,,,,,,,,,,52.773,44.523
Bank of Tennessee Building,,1834,1882,1871,,demolished,testimage2.png,bank-of-tennessee-building-1.jpg,circa 1880,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3588,"The Bank of Tennessee building stood at the southwest corner of the block now occupied by the UBS Tower. It was used by the US Army paymaster during the Civil War, and in the years just before its demolition, it housed the Nashville Library Association. It was succeeded on this site by the Cole Building.",5101,5487,,bank-of-tennessee-building-2.jpg,1860s,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=13930,,,,,,52.875,44.788
Women's Hospital,Baptist Hospital,,,1903,,demolished,testimage1.png,baptist-hospital.jpg,,,,Historic Nashville,,https://historicnashville.wordpress.com/2009/01/12/baptist-hospital/,"Located on the site of the Federal Reserve building, the hospital merged with Protestant Hospital in 1937. ",4999,5542,Site later occupied by the Federal Reserve Building. This hospital had merged with Protestant Hospital to create the new Baptist Hospital by 1937,,,,,,,,,,,51.835,44.226
Baptist Sunday School Board Building,Frost Building,1913,extant,"1929, 1952",,,testimage3.png,baptist-sunday-school-board-building-ca1996.jpg,ca 1996,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/2328,"The four-story neoclassical building was built to house the operations of the Southern Baptist Sunday School Board. In 1955 the name was changed to honor James M. Frost (1848-1916), the first head of the Sunday School Board, now known as Lifeway Christian Resources.",5029,5601,,,,,,,,,,,,52.141,43.625
Belair,,1827,extant,"1871, 1903, 1929, 1952",,,testimage4.png,belair.png,,,,LoC,,https://www.loc.gov/resource/hhh.tn0011.photos/?sp=1,"Belair was a wedding present from the owner of Belle Meade, John Harding (1777-1867), to his daughter, Elizabeth, in 1832. Two years after Elizabeth's death in 1836, former mayor of Nashville William Nichol (1800-1878) purchased the house, adding the wings. When Briley Parkway was built in the 1960s, the owners were able to save the house from demolition.",6773,5397,,,,,,,,,,,,69.921,45.742
