Landmark,Alternate Names,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Image Type,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1 File Name,Alternate Image 1 Image Type,Year of Alternate Image 1,Use Alternate Image 1?,Alternate Image 1 Usage Notes,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2 File Name,Alternate Image 2 Image Type,Year of Alternate Image 2,Use Alternate Image 2?,Alternate Image 2 Usage Notes,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,x,y
Adolphus Heiman House,,"1858","1976","1871, 1903, 1929, 1952",,demolished,testimage1.png,adolphus-heiman-house.png,photo,"1971",yes,"1928 or later, no copyright",LoC,,https://www.loc.gov/resource/hhh.tn0020.photos/?sp=2,"Prussian immigrant Adolphus Heiman (1809�1862) had by the 1850s become known as ""Nashville's architect"" due to the large number of prominent commissions he had received. He designed this house for himself three years before the outbreak of the Civil War, in which he served as a colonel in the Confederate Army.","4857","5308","Designed and built by Nashville architect Adolphus Heiman for use as his own residence, this mid-19th century, one-story brick house was an important expression of the Italian-villa style with modifications.",,,,,,,,,,,,,,,,,50.379963,46.606683
Airport Terminal (1st),,"1937",late 1960s,"1952",,demolished,testimage3.png,airport-terminal-1st-1,photo,,yes,"1928 or later, author and copyright uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=15504,"The first of three terminals for Berry Field, which over the years would evolve into Nashville International Airport. The eponymous Berry was Harry Berry (1882�1967), the WPA administrator for Tennessee, who helped procure funding for the airport.","6899","6661",,airport-terminal-1st-ca1942.jpg,photo,ca 1942,ask,"1928 or later, author and copyright uncertain",Nashville Library,Capitol News Co.,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/2285/rec/32,airport-terminal-1st-2,illustration,,ask,"1928 or later, author and copyright uncertain",Nashville Airport Twitter account,,https://twitter.com/Fly_Nashville/status/1403773046901547010/photo/1,71.235567,32.851333
Ambrose House,,ca 1890,extant,"1903, 1929, 1952",,,testimage4.png,ambrose-house,photo,"2014",creative commons,https://creativecommons.org/licenses/by-nc/2.0/,Flickr,,https://www.flickr.com/photos/brent_nashville/16144998197/in/photostream/,,,,122 South 12th Street,,,,,,,,,,,,,,,,,,
American Trust Building,,,extant,"1929, 1952",,,testimage1.png,american-trust-building-ca1926.jpg,photo,ca 1926,yes,before 1928,Nashville Library,Wiles Photographers,https://digital.library.nashville.org/digital/collection/nr/id/471/rec/96,"Initially known as the Union Bank and Trust Buiding, it became the American Trust Building after a 1911 merger. The original five-story building had a flat roof but was designed to resemble a Greek temple. In the mid 1920s ten (or in some accounts, eleven) stories were added on top of the building. The building is part of the historic Financial District.","5118","5495",,american-trust-building-ca1910.jpg,photo,circa 1910,yes,,https://digital.library.nashville.org/digital/collection/nr/id/2294/,,,,,,,,,,,53.045910,44.705067
Amqui Depot,,"1910",extant,"1929, 1952",,,testimage3.png,amqui-depot-2.jpg,photo,,yes,"date unknown, author unknown",TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/51/rec/2,"The Louisville & Nashville Railroad built Amqui Station in 1910 at the point in Madison where the Nashville, Chattanooga, & St. Louis line met the L&N line. After serving as a passenger and freight depot for several decades, the station was abandoned by the L&N in 1978. The next year Johnny Cash (1932�2003) saved the structure from demolition, moving it 10 miles northeast to the House of Cash in Hendersonville, where June Carter Cash (1929�2003) used it as an antique shop. After Johnny Cash's death in 2003, it was again moved, this time to the site of the 19th-century Madison Station, about a mile and a half south of its original location.","6349","3001",,amqui-depot-1.jpg,photo,,yes,"1928 or later, author and copyright uncertain",,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19615,,,,,,,,,65.555000,70.171000
Andrew Jackson Hotel,,"1925","1971","1929, 1952",,demolished,testimage4.png,andrew-jackson-hotel-1952.jpg,illustration,"1952",yes,"1928 or later, copyright unknown",Nashville Library,E.C. Kropp Co.,https://digital.library.nashville.org/digital/collection/nr/id/1956/rec/712,The 400-room hotel was demolished to make space for the James K. Polk office building and the Tennessee Performing Arts Center.,"5046","5496",,,,,,,,,,,,,,,,,,52.311486,44.693274
Arcade,,"1903",extant,"1903, 1929, 1952",,,,arcade-1967.png,photo,"1967",yes,"1928 or later, copyright unknown",TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/5360/rec/8,"Realtor and businessman Daniel Buntin (1874�1922) came back from a trip to Italy with a plan: to recreate Milan's Galleria Vittorio Emanuele II in Nashville. Contruction took less than a year, and the mall opened in 1903. The interior is open to the second-story glass roof. Shops line both sides of both levels, with second-floor access provided by a wrap-around balcony. Both ends are open and decorated with Palladian facades.","5091","5513",,,,,,,,,,,,,,,,,,52.770839,44.520871
Banner Building (1st),,,,"1903",,,testimage4.png,banner-building.jpg,photo,,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/images/3667.jpg,,,,"Fires in 1894 and 1920.
""Three fires caused extensive damage; fire destroyed the editorial offices in October 1894.""",,,,,,,,,,,,,,,,,,
Bank of Tennessee Building,,"1834","1882","1871",,demolished,testimage2.png,bank-of-tennessee-building-1.jpg,photo,circa 1880,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3588,"The Bank of Tennessee building stood at the southwest corner of the block now occupied by the UBS Tower. It was used by the US Army paymaster during the Civil War, and in the years just before its demolition, it housed the Nashville Library Association. It was succeeded on this site by the Cole Building.","5101","5487",,bank-of-tennessee-building-2.jpg,photo,1860s,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=13930,,,,,,,,,52.872346,44.786291
Baptist Hospital,,,,,,demolished,,baptist-hospital.jpg,photo,,yes,"date unknown, author unknown",Historic Nashville,TSLA,https://historicnashville.wordpress.com/2009/01/12/baptist-hospital/,"Located on the site of the Federal Reserve building, the hospital merged with Protestant Hospital in 1937. ","4999","5542",Site later occupied by the Federal Reserve Building. This hospital had merged with Protestant Hospital to create the new Baptist Hospital by 1937,,,,,,,,,,,,,,,,,51.832940,44.223036
